n,n_eff,v_cut,ll_neut,ll_plei,Ip_plei,dLL_plei,dLL_per_locus_plei,stat_plei,condition,replicate,dataset,beta_col
650,398402.0,7.458995057696262e-05,237.08779874446665,254.51866350797872,1.5014596719449573,17.430864763512062,0.02681671502078779,8.451032780115499,selected,simulated_ldl_replicate_seed_20260521,beta_p_post,beta_p_post
563,398402.0,7.458995057696262e-05,207.55256513838714,232.8298276168073,0.8298395714844548,25.27726247842017,0.0448974466757019,11.935917834363785,selected,simulated_ldl_replicate_seed_20260522,causal,beta_true_smiles
634,398402.0,7.458995057696262e-05,311.4223746470566,406.88312169645053,4.165133311707735,95.46074704939394,0.1505690016551955,42.69880871665406,selected,simulated_ldl_replicate_seed_20260522,beta_p,beta_p
634,398402.0,7.458995057696262e-05,149.7223897663666,164.77812576563215,0.8315206651409001,15.05573599926555,0.023747217664456706,7.389434544994931,selected,simulated_ldl_replicate_seed_20260522,beta_p_wc,beta_p_wc
634,398402.0,7.458995057696262e-05,211.46684337496268,226.41822461203898,1.4751060430663667,14.951381237076305,0.023582620247754423,7.342690577448455,selected,simulated_ldl_replicate_seed_20260522,beta_p_post,beta_p_post
559,398402.0,7.458995057696262e-05,217.73564729276396,235.35511949592185,0.8628058597182025,17.619472203157898,0.03151962827040769,8.535163415945235,selected,simulated_ldl_replicate_seed_20260523,causal,beta_true_smiles
628,398402.0,7.458995057696262e-05,304.73145621395065,374.9531571000414,4.630469202165325,70.22170088609073,0.11181799504154574,31.6717469185434,selected,simulated_ldl_replicate_seed_20260523,beta_p,beta_p
628,398402.0,7.458995057696262e-05,142.4799010494457,153.23584389940672,0.7693224366095157,10.75594284996103,0.01712729753178508,5.453898750285638,selected,simulated_ldl_replicate_seed_20260523,beta_p_wc,beta_p_wc
628,398402.0,7.458995057696262e-05,201.69429071676566,210.25677966673882,1.4770975564360633,8.562488949973158,0.013634536544543245,4.455944574853694,selected,simulated_ldl_replicate_seed_20260523,beta_p_post,beta_p_post
545,398402.0,7.458995057696262e-05,207.61351182683535,220.08128642450905,0.6277378568058212,12.467774597673696,0.022876650637933385,6.2270976935806,selected,simulated_ldl_replicate_seed_20260524,causal,beta_true_smiles
633,398402.0,7.458995057696262e-05,302.68409041713727,374.7646161818161,4.546894146239162,72.08052576467884,0.11387128872777068,32.48462052744921,selected,simulated_ldl_replicate_seed_20260524,beta_p,beta_p
633,398402.0,7.458995057696262e-05,148.96840952177055,158.96489239212536,0.8450925961571141,9.99648287035481,0.015792232022677426,5.109424879454099,selected,simulated_ldl_replicate_seed_20260524,beta_p_wc,beta_p_wc
633,398402.0,7.458995057696262e-05,221.4595565571455,238.385915026438,2.4726580593641136,16.926358469292495,0.02673990279509083,8.225877243433086,selected,simulated_ldl_replicate_seed_20260524,beta_p_post,beta_p_post
550,398402.0,7.458995057696262e-05,188.85475358075368,210.13594957888154,0.7759678895118518,21.281195998127856,0.038693083632959736,10.164543128729369,selected,simulated_ldl_replicate_seed_20260525,causal,beta_true_smiles
591,398402.0,7.458995057696262e-05,269.022882046341,334.84771062768607,3.0334273193682932,65.82482858134506,0.11137872856403563,29.748368078525207,selected,simulated_ldl_replicate_seed_20260525,beta_p,beta_p
591,398402.0,7.458995057696262e-05,147.15940176820223,166.39391172838683,0.9802964318701766,19.234509960184596,0.03254570213229204,9.254692694381179,selected,simulated_ldl_replicate_seed_20260525,beta_p_wc,beta_p_wc
591,398402.0,7.458995057696262e-05,207.543283015381,224.41283984697688,1.7299641740026745,16.869556831595872,0.028544089393563236,8.200516582907897,selected,simulated_ldl_replicate_seed_20260525,beta_p_post,beta_p_post
356,398402.0,7.458995057696262e-05,109.83211167462733,124.5072383905073,0.09022911126391052,14.67512671587997,0.04122226605584261,7.218901114337011,selected,simulated_ldl_replicate_seed_20260526,causal,beta_true_smiles
246,398402.0,7.458995057696262e-05,79.99053016584803,94.6010406089409,0.19736206106671383,14.610510443092878,0.05939231887436129,7.189936811353809,selected,simulated_ldl_replicate_seed_20260526,beta_p,beta_p
246,398402.0,7.458995057696262e-05,51.26992406591013,56.18036569545603,0.07134993054450811,4.9104416295459,0.01996114483555244,2.76310652654608,selected,simulated_ldl_replicate_seed_20260526,beta_p_wc,beta_p_wc
246,398402.0,7.458995057696262e-05,71.58835316437188,81.48274702148291,0.15638296863256934,9.894393857111027,0.04022111324028873,5.063041419396804,selected,simulated_ldl_replicate_seed_20260526,beta_p_post,beta_p_post
