n,n_eff,v_cut,ll_neut,ll_stab,I2_stab,dLL_stab,dLL_per_locus_stab,stat_stab,condition,replicate,dataset,beta_col
613,398402.0,7.458995057696262e-05,276.9844390604727,349.28158678133696,1.0997870302337542,72.29714772086425,0.11793988208950122,32.57934112776955,selected,simulated_ldl_replicate_seed_20260520,beta_p,beta_p
613,398402.0,7.458995057696262e-05,140.97375117521332,158.7679373250392,0.5091384985588946,17.79418614982589,0.029028036133484324,8.613076576388695,selected,simulated_ldl_replicate_seed_20260520,beta_p_wc,beta_p_wc
613,398402.0,7.458995057696262e-05,216.8465318706463,235.49795775220943,0.82028513934912,18.651425881563142,0.030426469627346072,8.995091626871485,selected,simulated_ldl_replicate_seed_20260520,beta_p_post,beta_p_post
582,398402.0,7.458995057696262e-05,207.27673662597812,223.10465655458555,0.3348901266854717,15.827919928607429,0.02719573870894747,7.735039929500078,selected,simulated_ldl_replicate_seed_20260521,causal,beta_true_smiles
650,398402.0,7.458995057696262e-05,304.6331897173432,383.6125002823205,1.1802463234563736,78.97931056497731,0.12150663163842663,35.50031757368989,selected,simulated_ldl_replicate_seed_20260521,beta_p,beta_p
650,398402.0,7.458995057696262e-05,145.53886129105146,161.96237188145093,0.44558009448590946,16.423510590399474,0.025266939369845344,8.001288568791749,selected,simulated_ldl_replicate_seed_20260521,beta_p_wc,beta_p_wc
650,398402.0,7.458995057696262e-05,237.08779874446665,253.75583091513437,0.7175619063667201,16.668032170667715,0.02564312641641187,8.110522315341353,selected,simulated_ldl_replicate_seed_20260521,beta_p_post,beta_p_post
563,398402.0,7.458995057696262e-05,207.55256513838714,234.86090853359576,0.4758185905959212,27.308343395208624,0.04850505043553929,12.834202342061214,selected,simulated_ldl_replicate_seed_20260522,causal,beta_true_smiles
634,398402.0,7.458995057696262e-05,311.4223746470566,410.42449869833075,1.3410389941138545,99.00212405127417,0.1561547697969624,44.24463969690654,selected,simulated_ldl_replicate_seed_20260522,beta_p,beta_p
634,398402.0,7.458995057696262e-05,149.7223897663666,169.63442036276302,0.5644950737300267,19.91203059639642,0.03140698832239183,9.556110807251757,selected,simulated_ldl_replicate_seed_20260522,beta_p_wc,beta_p_wc
634,398402.0,7.458995057696262e-05,211.46684337496268,227.94091820470652,0.7749216820899396,16.47407482974384,0.02598434515732467,8.023880358387988,selected,simulated_ldl_replicate_seed_20260522,beta_p_post,beta_p_post
559,398402.0,7.458995057696262e-05,217.73564729276396,238.37875394790555,0.5458953249223419,20.643106655141594,0.03692863444569158,9.88109718709685,selected,simulated_ldl_replicate_seed_20260523,causal,beta_true_smiles
628,398402.0,7.458995057696262e-05,304.73145621395065,376.86514945012783,1.5216831050263457,72.13369323617718,0.11486256884741589,32.50786883114836,selected,simulated_ldl_replicate_seed_20260523,beta_p,beta_p
628,398402.0,7.458995057696262e-05,142.4799010494457,157.41656564952336,0.5472472574342988,14.936664600077677,0.023784497770824326,7.336097750330189,selected,simulated_ldl_replicate_seed_20260523,beta_p_wc,beta_p_wc
628,398402.0,7.458995057696262e-05,201.69429071676566,211.09135075207928,0.8015050259438463,9.397060035313615,0.01496347139381149,4.8367928059449765,selected,simulated_ldl_replicate_seed_20260523,beta_p_post,beta_p_post
545,398402.0,7.458995057696262e-05,207.61351182683535,223.52329346844493,0.4624226120058788,15.909781641609584,0.029192259892861623,7.77165072232348,selected,simulated_ldl_replicate_seed_20260524,causal,beta_true_smiles
633,398402.0,7.458995057696262e-05,302.68409041713727,378.6682006914889,1.5247657391918914,75.98411027435162,0.12003808890102942,34.19122837543172,selected,simulated_ldl_replicate_seed_20260524,beta_p,beta_p
633,398402.0,7.458995057696262e-05,148.96840952177055,163.66902628994725,0.5839911288663824,14.700616768176701,0.023223723172475043,7.230326020999031,selected,simulated_ldl_replicate_seed_20260524,beta_p_wc,beta_p_wc
633,398402.0,7.458995057696262e-05,221.4595565571455,240.22972711962393,1.1117217278855398,18.770170562478427,0.029652718108180768,9.047974501496824,selected,simulated_ldl_replicate_seed_20260524,beta_p_post,beta_p_post
550,398402.0,7.458995057696262e-05,188.85475358075368,212.4329410571478,0.5237700063977058,23.578187476394106,0.042869431775262014,11.183472836961446,selected,simulated_ldl_replicate_seed_20260525,causal,beta_true_smiles
591,398402.0,7.458995057696262e-05,269.022882046341,338.9094306561562,1.1298670503442811,69.88654860981518,0.11825135128564328,31.52516758525564,selected,simulated_ldl_replicate_seed_20260525,beta_p,beta_p
591,398402.0,7.458995057696262e-05,147.15940176820223,171.38595087964637,0.5931226802986054,24.226549111444143,0.04099246888569229,11.470719251550776,selected,simulated_ldl_replicate_seed_20260525,beta_p_wc,beta_p_wc
591,398402.0,7.458995057696262e-05,207.543283015381,225.4509354678403,0.8609163138165029,17.907652452459303,0.030300596366259397,8.66366634896649,selected,simulated_ldl_replicate_seed_20260525,beta_p_post,beta_p_post
356,398402.0,7.458995057696262e-05,109.83211167462733,127.29554026851523,0.09406704469359445,17.463428593887897,0.049054574701932294,8.46555990113235,selected,simulated_ldl_replicate_seed_20260526,causal,beta_true_smiles
246,398402.0,7.458995057696262e-05,79.99053016584803,96.4271696684379,0.15753000299005449,16.43663950258987,0.06681560773410516,8.007154663187631,selected,simulated_ldl_replicate_seed_20260526,beta_p,beta_p
246,398402.0,7.458995057696262e-05,51.26992406591013,59.51419387014958,0.1022051208890101,8.244269804239451,0.03351329188715224,4.310291391898589,selected,simulated_ldl_replicate_seed_20260526,beta_p_wc,beta_p_wc
246,398402.0,7.458995057696262e-05,71.58835316437188,82.83136720470156,0.1354677562023989,11.243014040329683,0.045703309107031236,5.674324946920427,selected,simulated_ldl_replicate_seed_20260526,beta_p_post,beta_p_post
