trait	fit_name	n_loci	n_replaced	stab_ll_gain	plei_ll_gain	dir_ll_gain	full_ll_gain	stab_aic_gain	plei_aic_gain	dir_aic_gain	full_aic_gain	plei_vs_stab_ll_gain
scz	raw_z5	172	0	7.826890326379811	8.738858185707727	0.4968912241753997	8.172797744060873	13.653780652759622	15.477716371415454	-1.0062175516492005	12.345595488121743	0.911967859327916
t2d	matched_original_post	208	0	-0.000753615234089	0.2754222312526906	0.5961488446933316	0.5970365710352041	-2.001507230468178	-1.4491555374946188	-0.8077023106133367	-2.805926857929592	0.2761758464867796
t2d	raw_all	208	208	-0.0007427227072724	0.0469170146599111	1.2327041062454782	1.2335694274928244	-2.001485445414545	-1.9061659706801777	0.4654082124909564	-1.5328611450143512	0.0476597373671836
t2d	raw_z2	208	189	-0.000753615234089	0.0466650385332627	1.283275973633394	1.284229630301624	-2.001507230468178	-1.9066699229334745	0.5665519472667881	-1.431540739396752	0.0474186537673517
t2d	raw_z5	208	67	-0.000753615234089	0.0466650385332627	0.9047021468783214	0.9055898915247838	-2.001507230468178	-1.9066699229334745	-0.1905957062433572	-2.1888202169504325	0.0474186537673517
triglycerides	matched_original_post	417	0	-0.0023169957724178	0.1495875202238323	0.5606552182476321	0.5620587110323072	-2.004633991544836	-1.7008249595523353	-0.8786895635047358	-2.8758825779353856	0.1519045159962502
triglycerides	raw_all	417	417	0.5596332981682792	0.3942802504299436	1.4059983542639145	0.6951551183165634	-0.8807334036634415	-1.2114394991401127	0.811996708527829	-2.609689763366873	-0.1653530477383356
triglycerides	raw_z2	417	216	-0.0025575657331273	0.1479476324457493	0.6168409003450108	0.6182703586175649	-2.0051151314662548	-1.7041047351085012	-0.7663181993099784	-2.7634592827648703	0.1505051981788767
triglycerides	raw_z5	417	24	-0.0025575657331273	0.1479476330566456	0.3948298481584515	0.4347456013016995	-2.0051151314662548	-1.7041047338867088	-1.2103403036830969	-3.130508797396601	0.1505051987897729
wbc	matched_original_post	557	0	0.1819736884534677	2.214087477031825	0.0279872934152081	0.2170524180626216	-1.6360526230930643	2.4281749540636497	-1.944025413169584	-3.5658951638747567	2.032113788578357
wbc	raw_all	557	557	-0.0026545392256878	0.7184106392769252	-0.0045507733466081	0.0225846379573226	-2.005309078451376	-0.5631787214461497	-2.0091015466932163	-3.954830724085354	0.721065178502613
wbc	raw_z2	557	406	-0.0025896645985028	0.1620056918232251	0.0481388350569602	0.7406833537833393	-2.0051793291970057	-1.6759886163535498	-1.9037223298860797	-2.518633292433321	0.1645953564217279
wbc	raw_z5	557	26	-0.0025896645985028	0.1620057063258002	0.0337764072859272	1.494166782792547	-2.0051793291970057	-1.6759885873483995	-1.9324471854281453	-1.0116664344149058	0.1645953709243031
